dataMatrix	C100a	C100b	C100c
M221.0621	6452966.93996748	4879131.2244945	3788042.64793272
M222.8677	5916483.6636405	5918109.70902604	5129478.81531997
M223.0636	15963969.1706616	29763565.0905324	34677703.7499492
M223.0753	400699066.992853	358007190.894672	330309386.860094
M223.0940	NA	NA	NA
M224.0335	5644092.14382976	12584727.0588739	12787376.4436389
M224.0632	NA	2586963.74243379	3824715.64829445
M224.0786	55804997.8082798	43268403.8880348	42723593.9635859
M224.8648	2456832.11174559	3534204.49170553	2681258.05699337
M225.0345	5020463.85550092	6355253.71408893	6921340.90692245
M225.0429	NA	3663360.85644948	4281614.02024546
M225.0820	1849369.40352619	NA	1792144.89085443
M226.1049	1758337.46977055	1236875.57722071	NA
M226.9514	13274764.5911135	14565541.2074853	14459333.9041806
M227.0680	2351947.55417785	2458766.41121936	1961891.14177575
M228.1206	184143808.695225	158450414.136043	150051152.713111
M229.1239	9761195.25709179	11066219.0670378	8932156.60897268
M232.8966	11199584.62867	10750101.9439301	12370715.6995804
M233.0388	1088286.16707703	1366985.55430232	NA
M233.0759	11135870.9351539	9706742.84503284	8436236.24386834
M233.1284	65280546.4221718	51706612.8355453	43788336.3156491
M234.1317	5679862.21106608	3293664.74830088	4184991.08075484
M234.8936	2895211.40252562	3001631.11630975	2496676.07144072
M235.0924	67786504.6931296	75179896.3379096	78618912.9159393
M236.0958	3094711.69974786	1998660.93128306	2614423.39569664
M239.1257	NA	856925.764152198	716200.960919146
M241.0947	112300307.834	100282407.339719	93306152.6983095
M242.0980	9014658.12840481	7981683.85084972	7974707.5824998
M242.9254	5604931.99084604	5371466.87817744	5653301.65952534
M244.0945	11875962.2108051	10652070.4634516	9725103.71864954
M245.0572	212326681.388343	199629101.584094	182502123.481085
M246.0606	24716539.9248781	22202262.7829552	20524763.8432467
M247.0924	2024224.45429807	2168614.70740147	2262759.18961167
M249.0455	1189925.12479877	1518998.00175813	1952159.48943856
M249.1572	2430003.13209397	2640773.76955696	2741551.53442147
M251.0702	2117046.66420363	2064095.86410828	1619754.19030769
M254.8237	3920367.11494817	3853984.45355917	3278466.68626619
M255.0580	3448164.32150295	3668327.40295465	3222590.74816633
M255.0740	NA	NA	NA
M255.1034	NA	NA	NA
M255.1103	223337874.328575	203722670.399067	184144459.426574
M256.1137	20627564.792714	17496987.911999	17149050.2148976
M256.1695	859018458.425892	757874756.888551	687558707.616335
M256.8207	5990404.63351424	4934727.39147585	4197313.26668598
M257.0461	NA	3390135.06419403	3948333.69993475
M257.0686	30703580.4512875	29419678.3993913	28114981.5948008
M257.0743	4888514.15929776	5400144.42710492	5584282.82120243
M257.1729	153924316.72384	130494290.570097	113871179.891783
M258.0719	2258544.0732969	2263219.88532053	2144997.36752219
M258.1763	7349972.50436976	6262937.58038509	5507091.18615244
M258.1851	975091932.548157	871141249.761551	796493451.175645
M259.1885	172320507.785217	153920712.922299	134091679.854387
M260.1644	1271451895.52119	1081045750.1659	998406357.432992
M260.1855	890428947.14965	761011658.004606	701880668.511365
M260.1917	6995169.1036976	7154005.53765231	6205026.54715085
M261.0111	4678304.71833646	4543224.92433672	4181093.93178779
M261.0307	8641741.38863507	9006737.50768781	7170283.15725607
M261.1615	NA	NA	NA
M261.1677	206741166.446517	182224107.590148	166081668.317428
M261.1889	115842021.152196	95469659.4155837	87664668.8384874
M262.1698	9770716.68534687	8576670.12787745	7584818.72431009
M262.1910	3539028.18870461	2970696.61775765	2564472.30966068
M263.0560	61338054.5862642	133958450.424302	165795251.139994
M264.0304	NA	NA	NA
M264.0556	5833446.69156847	12901694.5984473	13880769.7153393
M264.0594	NA	4773807.37412497	5001817.82690575
M264.8525	NA	1915344.2275297	2078813.39948078
M265.0230	9961264.15539685	11327458.5548774	12847501.1118994
M265.0529	3032553.09711853	6975296.45548767	8537469.95330013
M265.2525	NA	674357.746330184	664211.637907091
M267.2682	1680114.81958192	1952610.68703309	1172575.39024113
M269.1244	58434243.4288669	46486228.581218	41579068.774135
M270.1277	4456250.81892282	2277651.57113787	2724793.95962764
M270.9777	2268929.40136344	NA	1753465.20177863
M271.0400	2909154.5203357	3494830.26931018	3530569.30146521
M271.0843	37528519.0937256	38844935.221647	36141045.7245109
M272.0876	3402401.58877595	3385845.16469535	3216831.89454971
M272.2008	2650955789.65053	2299693244.27646	2103784048.58621
M272.7945	3241077.07687501	2067414.23955798	NA
M273.0393	604058.146645251	669075.566957466	NA
M273.0824	NA	1972951.61888485	1852867.58745904
M273.1979	4907998.65151992	3873535.59537475	3328720.81565687
M273.2041	492662205.224552	443193928.091118	410227393.397219
M274.2012	6261917.24564835	5318036.01071551	4359289.32099818
M274.2075	29858773.0383858	25055510.7746461	21894255.0605092
M278.1514	24386009.784863	23062395.7705338	21293287.6206716
M279.0300	3505693.92887117	6523766.08524107	7537345.69787529
M279.0562	NA	759302.792719074	1033435.39400803
M279.1547	2965411.93342666	2904870.85500168	2265667.31232376
M282.1463	16904976.3338824	14657301.9899857	11153189.8686521
M282.1674	10939165.2417762	9709831.17478859	8739339.4819195
M282.2790	304928610.971784	234615873.808354	204239841.842914
M283.2824	42049810.7267461	30199370.8936139	26460393.79498
M284.2858	2257203.17855506	NA	1186256.39772071
M284.2947	8751226.95593061	6724016.87663416	5380663.78405909
M285.0756	51041526.8826298	38602469.8465979	32102766.1661692
M285.2787	2048561.72932723	1146372.63823643	1095883.59446936
M286.0790	7850501.61263358	5754172.60743675	4828560.96885583
M287.0550	1865807.10634163	1897420.15082984	2131784.00854075
M290.0910	2134357.55951367	1651429.82713261	1847614.05693816
M290.1750	1203971353.14606	1051725021.0734	952094756.680383
M291.1063	10804278.5444776	8414409.06057986	8304388.6301823
M291.1783	205951832.271117	176854082.247648	166546125.588693
M292.1805	8941768.52150918	8431804.17321369	7747873.44401423
M293.0978	1066551618.12821	1172676311.75854	1371178282.7541
M294.0949	4566449.94846568	4753054.31438622	4972396.45547283
M294.1011	114135633.955006	129723827.597423	133473961.94394
M295.1032	2451175.0392603	2875535.57096157	2641316.08492883
M296.0238	19295055.517451	14907593.167528	12767799.6435612
M296.1053	759225.878030329	999821.127531059	862362.368736334
M297.0271	1898028.30501715	NA	1559380.50448666
M298.0208	10813961.3646674	7890339.78833398	8012382.03735092
M300.2896	205265601.017217	163667959.021727	138136360.262957
M301.1409	949879.813151408	NA	833769.457063708
M301.2929	24678821.4333971	20041748.6178211	17984595.0496047
M302.2324	13056719.8012363	10799872.1422493	10622722.1532343
M302.2963	NA	NA	NA
M302.3052	271998561.725972	216174239.294604	190183947.273865
M303.3085	35965109.3159226	26679473.4689524	22991449.0893983
M304.2609	183558125.325767	160166130.46132	144377438.177967
M304.3119	1622665.64067618	1362575.54102141	NA
M305.1029	4827751.5252742	11287104.0686878	13813261.6111037
M305.2643	22364190.3712796	18498506.411799	18155790.539605
M307.0575	74101420.8093005	63121149.577415	55526713.9483085
M308.0609	7910196.19023778	6780152.17886755	6759902.84365135
M309.1120	121288404.667987	89373839.299145	74687559.199645
M310.1153	15191542.5254186	11564508.0174782	10945452.7056608
M312.1569	12097141.5443624	10922150.2390152	10796430.8696726
M313.0882	2278275.34981687	1788395.17483947	1466813.64611681
M313.2736	24872384.7215211	20045284.3209345	20989996.1585193
M314.2769	3121643.17615627	2841807.48989636	4272515.54343683
M315.0673	37043284.1093369	42092901.1426458	43654235.0326996
M315.0797	479463768.664475	526775202.701763	596705500.434994
M316.0692	1724360.32085497	1407258.62394022	2912589.65442482
M316.0767	1447734.25308129	1626592.64554675	1676996.99518129
M316.0831	40826403.2562661	51924387.7197291	49892431.5308845
M317.0558	2937723.1249069	NA	2169113.49604961
M317.0647	3271757.60189077	2985197.95276749	NA
M317.0851	882102.170341804	1195974.68088993	913053.377087361
M318.0057	59110057.7503631	48916601.5262038	41470175.6215385
M318.3001	328323303.391118	251617579.09277	216351402.259874
M319.0091	6464667.3904661	5343222.60056752	4612996.48716172
M319.3035	44393507.8344905	32608165.3331883	26486408.5719461
M320.0027	32188077.7578578	26658051.3458086	25289199.9745073
M320.2348	10846502.168593	10781676.1056689	9098625.37330044
M320.3068	2725439.03237548	1616640.36449105	1636783.30396938
M321.0061	2557864.87337582	2613266.97363836	2553454.86111978
M321.9998	3253496.94827474	2868453.58904641	2786813.26095837
M322.2715	42361756.9886686	36984110.8932356	30774347.9540324
M323.0314	20434071.8288303	19154052.9315774	17635870.0022664
M323.0559	954320.428976557	NA	1271133.01403665
M323.2748	5044955.37999575	4502055.7819566	4656033.61647457
M324.0347	1995861.60469451	1602384.3909456	NA
M324.2871	29402035.9883404	24633253.6610441	19560563.4220957
M325.2347	2374299.84537449	3416633.66196679	3430013.15196504
M325.2905	4344580.5545563	3037818.94380594	2743520.47746047
M329.2586	1127471426.49497	928601674.562728	835886242.402633
M330.2556	3990659.15139795	2662457.45555026	2387248.44163349
M330.2619	238780658.692018	198426983.422724	176033666.836682
M331.0447	253519390.259413	284077092.630963	316657259.879553
M331.0535	47120348.6466308	56150783.2380464	56621168.0741181
M331.0939	279185284.809951	249991618.909119	227933108.498914
M331.2652	14694604.1146886	12209238.8598068	10077904.7371393
M331.2841	27147540.2451383	28166098.6775863	21159655.2073926
M331.5463	1427068.66788606	1937352.43269327	2460116.53299823
M332.0418	579177.534959767	647684.080658406	1230573.97993983
M332.0481	18853821.1178581	20360620.7574345	NA
M332.0569	2887592.36752424	3288467.25411861	3291708.81919556
M332.0972	36942806.0321191	33796854.664469	30965558.6806971
M332.2875	4561710.33294595	3010392.09905093	3741940.10325943
M333.0408	804108.176921851	1481306.24494806	1415442.4204271
