variableMetadata	mzMed	mzMin	mzMax	sizeSamp	scanMin	scanMax	nPeaks	meanSolvent	timeShifted	signalOverSolventPvalueMean	corSampPeakMean	corSampPeakSd	signalOverSolventRatioMean	variableID
M130.0862	130.086228390958	130.085708618164	130.086380004883	62	16	89	3	0	0	0	0.179376211994824	0.144289148967755	Inf	M130.0862
M130.1087	130.108707195983	130.108215332031	130.109237670898	74	17	95	5	0	0	0	0.960217033815495	0.00927464150572945	Inf	M130.1087
M131.0815	131.08148052862	131.081314086914	131.081802368164	109	21	135	2	0	0	0	-0.500296195378945	0.113977266040678	Inf	M131.0815
M131.1057	131.105718340193	131.105545043945	131.105926513672	65	16	92	3	0	0	0	0.557493174684592	0.0726951210732569	Inf	M131.1057
M131.1120	131.112038803101	131.111633300781	131.112213134766	65	15	85	3	0	0	0	0.837913236574409	0.0590750401144622	Inf	M131.1120
M132.0655	132.065486947286	132.065002441406	132.065643310547	103	19	133	3	0	0	0	-0.658989263712152	0.0641138522591025	Inf	M132.0655
M132.0767	132.076721394857	132.076583862305	132.077087402344	70	15	89	3	0	0	0	0.596985309759169	0.035245394164601	Inf	M132.0767
M132.1019	132.101878821083	132.101150512695	132.102416992188	73	16	93	3	3053.23840913318	0	0	0.922672424588928	0.0351211186908574	Inf	M132.1019
M133.0971	133.097127339926	133.09700012207	133.097549438477	76	15	110	3	0	0	0	-0.113796613186121	0.12003050298446	Inf	M133.0971
M133.1052	133.10521538313	133.10481262207	133.105361938477	63	15	84	3	0	0	0	0.46157266984034	0.059471504145863	Inf	M133.1052
M134.0964	134.096401333921	134.095794677734	134.097106933594	65	16	97	3	0	0	0	0.952790020420089	0.0147597653316813	Inf	M134.0964
M134.9884	134.988380782867	134.98796081543	134.988555908203	104	21	129	3	0	0	0	-0.492099109855794	0.143094032983951	Inf	M134.9884
M135.0028	135.002830932015	135.002044677734	135.003311157227	68	15	86	3	1538.4963921441	0	0	0.894889211870979	0.0306126295516156	Inf	M135.0028
M135.0301	135.030094347502	135.029983520508	135.030212402344	66	16	82	1	0	0	0	0.290514983203379	NA	Inf	M135.0301
M135.0998	135.099750180788	135.099578857422	135.099914550781	69	15	89	3	0	0	0	0.628363776359475	0.0318307768946417	Inf	M135.0998
M136.0757	136.075662535082	136.075271606445	136.076187133789	68	18	94	3	0	0	0	0.925194356078806	0.0304719952847155	Inf	M136.0757
